,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,7,Darius Bazley,PF,6-8,208,2000-06-12,US,2,
1,6,Gabriel Deck,PF,6-8,232,1995-02-08,AR,1,
2,12,Mamadi Diakite,PF,6-9,228,1997-01-21,GN,1,Virginia
3,5,Luguentz Dort,SG,6-3,215,1999-04-19,CA,2,Arizona State
4,25,Rob Edwards,SG,6-5,205,1997-01-20,US,R,"Cleveland State University, Arizona State"
5,15,Derrick Favors,C,6-9,265,1991-07-15,US,11,Georgia Tech
6,6,Melvin Frazier,SG,6-5,215,1996-08-30,US,2,Tulane
7,3,Josh Giddey,SF,6-8,210,2002-10-10,AU,R,
8,2,Shai Gilgeous-Alexander,PG,6-6,180,1998-07-12,CA,3,Kentucky
9,14,Jaylen Hoard,SF,6-8,216,1999-03-30,FR,2,Wake Forest
10,55,Scotty Hopson,SG,6-7,204,1989-08-08,US,2,Tennessee
11,16,Ty Jerome,SG,6-5,195,1997-07-08,US,2,Virginia
12,18,Georgios Kalaitzakis,SF,6-8,192,1999-01-02,GR,R,
13,27,Vit Krejci,SG,6-8,195,2000-06-19,CZ,R,
14,11,Théo Maledon,PG,6-4,175,2001-06-12,FR,1,
15,23,Tre Mann,PG,6-3,178,2001-02-03,US,R,Florida
16,33,Mike Muscala,C,6-10,240,1991-07-01,US,8,Bucknell
17,17,Aleksej Pokusevski,PF,7-0,190,2001-12-26,RS,1,
18,50,Jeremiah Robinson-Earl,C,6-9,230,2000-11-03,US,R,Villanova
19,22,Isaiah Roby,PF,6-8,230,1998-02-03,US,2,Nebraska
20,30,Olivier Sarr,C,7-0,237,1999-02-20,FR,R,"Wake Forest, Kentucky"
21,9,Zavier Simpson,PG,6-0,190,1997-02-11,US,R,Michigan
22,12,Lindy Waters III,SG,6-6,215,1997-07-28,US,R,Oklahoma State
23,8,Paul Watson,SF,6-6,210,1994-12-30,US,2,Fresno State
24,21,Aaron Wiggins,SG,6-6,200,1999-01-02,US,R,Maryland
25,34,Kenrich Williams,SF,6-6,210,1994-12-02,US,3,TCU
